longitude,latitude,altitude,yaw,state_x,state_y,state_yaw
0,0,0,0.0103816,0,0,1.58118
0,0,0,0.0110506,-4.69595e-07,4.52311e-05,1.58118
0,0,0,0.0110739,-9.36288e-07,9.01804e-05,1.58118
0,0,0,0.0110867,-1.39995e-06,0.000134836,1.58118
0,0,0,0.0110551,-1.86044e-06,0.000179188,1.58118
0,0,0,0.0110739,-2.31536e-06,0.000223004,1.58118
0,0,0,0.0110866,-2.76648e-06,0.000266451,1.58118
0,0,0,0.0110837,-3.21048e-06,0.000309212,1.58118
0,0,0,0.0110907,-3.64925e-06,0.00035147,1.58118
0,0,0,0.0111099,-4.08039e-06,0.000392991,1.58118
0,0,0,0.0111128,-4.50418e-06,0.000433802,1.58118
0,0,0,0.0111414,-4.92089e-06,0.000473931,1.58118
0,0,0,0.0111634,-5.32825e-06,0.000513155,1.58118
0,0,0,0.0111988,-5.72588e-06,0.000551439,1.58118
0,0,0,0.0112528,-6.11515e-06,0.000588913,1.58118
0,0,0,0.0112784,-6.49478e-06,0.000625453,1.58118
0,0,0,0.0112991,-6.86357e-06,0.000660948,1.58118
0,0,0,0.0113478,-7.22307e-06,0.000695545,1.58118
0,0,0,0.0113547,-7.57127e-06,0.000729051,1.58118
0,0,0,0.0113828,-7.90981e-06,0.000761625,1.58118
0,0,0,0.0113773,-8.23675e-06,0.000793083,1.58118
0,0,0,0.0113974,-8.55384e-06,0.000823593,1.58118
0,0,0,0.0114284,-8.85928e-06,0.000852978,1.58119
0,0,0,0.0114391,-9.15488e-06,0.000881415,1.58119
0,0,0,0.0114682,-9.43102e-06,0.000907977,1.58119
0.01695,-5.68976e-11,0.007,0.0115041,0.0010714,0.000924964,1.58118
0.01695,-5.68976e-11,0.007,0.0115568,0.00207293,0.000941599,1.58117
0.01695,-5.68976e-11,0.007,0.0115718,0.00300271,0.000957769,1.58117
0.01695,-5.68976e-11,0.007,0.0116072,0.0038673,0.000973377,1.58116
0.01695,-5.68976e-11,0.007,0.0116286,0.00467243,0.000988558,1.58116
0.01695,-5.68976e-11,0.007,0.0116369,0.00542317,0.00100315,1.58116
0.01695,-5.68976e-11,0.007,0.0116358,0.00612399,0.00101729,1.58115
0.01695,-5.68976e-11,0.007,0.0116552,0.00677885,0.00103083,1.58115
0.01695,-5.68976e-11,0.007,0.0116866,0.00739133,0.00104386,1.58114
0.01695,-5.68976e-11,0.007,0.0117038,0.00796461,0.00105643,1.58114
0.01695,-5.68976e-11,0.007,0.0117072,0.00850158,0.00106842,1.58114
0.01695,-5.68976e-11,0.007,0.0117341,0.00900484,0.00107997,1.58113
0.01695,-5.68976e-11,0.007,0.011775,0.00947678,0.00109095,1.58113
0.01695,-5.68976e-11,0.007,0.0118068,0.00991956,0.00110145,1.58113
0.01695,-5.68976e-11,0.007,0.0118134,0.0103352,0.00111155,1.58112
0.01695,-5.68976e-11,0.007,0.0118298,0.0107254,0.00112111,1.58112
0.01695,-5.68976e-11,0.007,0.0118602,0.0110919,0.00113023,1.58112
0.01695,-5.68976e-11,0.007,0.0118875,0.0114363,0.001139,1.58112
0.01695,-5.68976e-11,0.007,0.0119218,0.01176,0.00114726,1.58112
0.01695,-5.68976e-11,0.007,0.0119583,0.0120642,0.00115513,1.58111
0.01695,-5.68976e-11,0.007,0.0119798,0.0123503,0.00116261,1.58111
0.01695,-5.68976e-11,0.007,0.0120092,0.0126193,0.0011698,1.58111
0.01695,-5.68976e-11,0.007,0.0120289,0.0128724,0.00117655,1.58111
0.01695,-5.68976e-11,0.007,0.0120433,0.0131104,0.00118296,1.58111
0.01695,-5.68976e-11,0.007,0.0120502,0.0133343,0.00118873,1.58111
0.0339,2.25435e-10,0.013,0.0120786,0.0145364,0.00120402,1.5811
0.0339,2.25435e-10,0.013,0.012842,0.0156676,0.00121836,1.58109
0.0339,2.25435e-10,0.013,0.0128697,0.0167321,0.00123191,1.58108
